question,category_id
性別は？,1
年齢は？,1
生年月日は？,1
血液型は？,1
出身は？,1
家族構成は？,1
ペットを飼っている？,1
ペットの名前は？,1
あだ名は？,1
あだ名の由来は？,1
やったことあるアルバイトの内容は？,1
好きなゲームは？,3
好きなアニメは？,3
ゲーム歴は？,3
好きな映画のジャンルは？,3
苦手な映画のジャンルは？,3
邦画は好き？,3
面白かった邦画は？,3
洋画は好き？,3
面白かった洋画は？,3
アジア映画は好き？,3
面白かったアジア映画は？,3
結婚している？,1
子供はいる？,1
身長はどのくらい？,1
学生時代何部でしたか？,1
職種は？,1
就職して何年目？,1
好きな漫画は?,3
好きな音楽は?,3
一軒家、アパート、マンション？,1
テレビは好き？,1
好きな飲み物は？,3
好きな食べ物は？,3
今の悩みは?,1
今のテンションは?,1
あなたは何歳?,1
あなたの下の名前は?,1
好きなお笑い芸人は??,3
お笑い番組と言えば!!,1
どこに住んでいる？,1
付き合ってどの位？,2
相手の下の名前は?,2
名前で呼ばれてる?,2
相手のこと名前で呼んでる?,2
相手は何歳?,1
誕生日は?,1
血液型は?,1
好きな作曲家は?,3
ダンス歴何年？,1
好きなジャンルは？,1
得意なジャンルは？,1
苦手なジャンルは？,1
好きな教科は？,1
長所は?,1
短所は?,1
告白する派?される派?,2
肉と魚ならどちらが好き?,3
あなたの怖いものは?,1
親の職業は?,1
モテ期はありましたか？,2
最近恋人と話した内容は?,2
恋愛と友情ならどちらを取る?,2
最近買ったものは?,1
今一番したいことは？,1
好きなスマホゲームは?,1
おすすめのスマホアプリは?,1
髪を染めるなら何色にする?,1
海と山どちらが好き?,1
コミュ障ですか？,1
弁当に入っているとテンションのあがるおかずは?,1
自分磨きってしていますか?,1
猫に名前をつけるとしたらなんと付けますか?,1
束縛する方ですか？,2
どういう人を好きになりますか?,2
尊敬する人物は?,1
メンタルを強くするにはどうしたらいいですか?,1
あなたの秘密は?,1
気になっているニュースは？,1
最近見たテレビ番組は？,1
さっきまで何をしていた？,1
あなたの周りで流行ってることは？,1
最近どんなことがあった？,1
先週末に何をしていた？,1
好きな飲み物は？,1
ウソをつくのが得意？,1
注目してる有名人は？,1
得意な料理は？,1
好きなスイーツは？,3
星座は？,1
好きなパスタは？,3
最近遊びに行った場所は？,1
出身は？,1
ヒマな時間ができたときにすることは？,1
犬派？猫派？,3
一番好きな国内のテレビドラマは？,3
健康のためにしていることは？,1
好きな季節は？,1
苦手な飲み物は？,1
次の休みの予定は？,1
好きなラーメンは？,3
小さい頃のあだ名は？,1
得意なスポーツは？,1
有名人に会ったコトある?,1
宇宙人っていると思う？,1
好きな色は？,1
一番お金をかけてきた趣味は？,1
好きな女性芸能人は？,1
昨日の晩ごはんに食べたものは？,1
最近ハマっていることは？,1
今朝何を食べた？,1
オススメの食べ物屋さんは？,1
一番好きな雑誌は？,1
今週末の予定は？,1
山と海、どちらが好き？,1
好きな動物は？,1
今一番欲しいモノは？,1
もし出会ったら全力で逃げたくなる生き物は？,1
今読みたい本は？,1
最近読んだ本は？,1
子供のころの夢は？,1
何月生まれ？,1
苦手な食べ物は？,1
地元のソウルフードは？,1
休日は何をしている？,1
弾ける楽器は？,1
旅行に行く頻度は？,1
座右の銘は?,1
もし超能力を得られるならなんの力が欲しい?,1
ミュージカルにいったことある?,1
これまできつかったことは?,1
タバコは吸う?,1
職場は仲がいい?,1
唱えてみたい呪文は?,1
はじめてデートに行くならどこへ行く?,2
あなたの口癖は?,1
手術をしたことがある?,1
告白の言葉は?,2
恋人とどれくらいの頻度で会ってる?,2
ジェネレーションギャップを感じたことは?,1
あなたの知っているライフハックは？,1
